Application Number,Nameplate Rating
SD-CSI-17952,3.64
SD-CSI-17916,3.64
SD-CSI-10120,6.44
SD-CSI-05918,2.99
SD-CSI-18446,6.89
SD-CSI-21199,5.565
SD-CSI-14265,3.27
SD-CSI-18311,7.54
SD-CSI-16158,4.16
SD-CSI-00183,7.7
SD-CSI-16130,3.36
SD-CSI-12192,5.17
SD-CSI-15456,4.56
SD-CSI-13393,5.232
SD-CSI-00056,4.2
SD-CSI-08515,14.1
SD-CSI-07488,3.5
SD-CSI-02515,4.32
SD-CSI-02512,2.8
SD-CSI-00222,573.315
SD-CSI-15783,5.25
SD-CSI-07150,5.06
SD-CSI-15474,9.156
SD-CSI-04824,55.93
SD-CSI-03368,5.04
SD-MASH-00025,32.195
SD-CSI-18887,5
SD-CSI-15487,10.464
SD-CSI-18986,4.165
SD-CSI-15145,2.45
SD-CSI-06005,2.88
SD-CSI-16909,5.886
SD-CSI-21049,5.22
SD-CSI-02537,5.2
SD-CSI-21166,8.67
SD-CSI-16918,4.59
SD-CSI-03475,3.456
SD-CSI-08404,1.72
SD-CSI-10910,6.9
SD-CSI-11370,3.22
SD-CSI-19482,4.75
SD-CSI-04185,3.68
SD-CSI-19012,4.08
SD-CSI-03071,2.8
SD-CSI-08744,2.88
SD-CSI-10570,3.5
SD-CSI-09325,4.6
SD-CSI-09079,3.68
SD-CSI-20120,5.72
SD-CSI-19735,5.67
SD-CSI-06049,2.88
SD-CSI-04822,39.48
SD-MASH-00024,25.145
SD-CSI-16275,6.125
SD-CSI-01797,5.85
SD-CSI-21399,6.38
SD-CSI-04816,19.74
SD-CSI-16284,4.9
SD-CSI-18338,8.12
SD-CSI-13559,4.578
SD-CSI-04819,55.93
SD-CSI-13558,6.867
SD-CSI-04362,3.84
SD-CSI-00010,417.6
SD-CSI-16411,3.57
SD-CSI-04826,55.93
SD-CSI-14267,5.886
SD-CSI-03322,4.83
SD-CSI-05432,1.568
SD-CSI-15608,1.175
SD-CSI-18173,3.92
SD-CSI-19063,3.43
SD-CSI-01219,4.095
SD-CSI-03212,4.32
SD-CSI-12848,8.5
SD-CSI-16645,2.16
SD-CSI-05157,6.9
SD-CSI-16929,4.59
SD-CSI-20162,5.67
SD-CSI-17060,3.18
SD-CSI-09355,3.24
SD-CSI-00904,12.6
SD-CSI-11312,3.44
SD-CSI-13331,4.578
SD-CSI-15664,3.84
SD-CSI-17087,4.68
SD-CSI-17091,4.32
SD-CSI-10970,4.05
SD-CSI-02993,2.8
SD-CSI-10378,4.165
SD-CSI-03544,4.92
SD-CSI-06984,4.2
SD-CSI-00172,4.2
SD-CSI-12703,4.578
SD-CSI-08563,2.25
SD-CSI-04638,2.86
SD-CSI-01453,1.85
SD-CSI-15319,6.867
SD-CSI-08413,2.88
SD-CSI-14145,6.867
SD-CSI-04367,1.56
SD-CSI-10401,3.5
SD-CSI-10054,4.7
SD-CSI-05487,3.36
SD-CSI-10062,4.7
SD-CSI-14157,4.578
SD-CSI-18838,5.5
SD-CSI-18833,5.61
SD-CSI-09186,2.58
SD-CSI-19624,5
SD-CSI-19246,3.19
SD-CSI-00017,43.68
SD-CSI-02861,1.512
SD-CSI-04897,3.29
SD-CSI-04901,2.2
SD-CSI-17206,4
SD-CSI-14181,6.867
SD-CSI-16557,3.12
SD-CSI-13492,10.464
SD-CSI-11302,5.4
SD-CSI-19176,3.5
SD-CSI-17980,6.48
SD-CSI-18897,4.25
SD-CSI-13770,3.27
SD-CSI-18395,6.24
SD-CSI-19195,5.2
SD-CSI-17876,3.924
SD-CSI-11679,5.12
SD-CSI-08625,2.25
SD-CSI-19321,2.385
SD-CSI-15193,1.175
SD-CSI-13243,5.232
SD-CSI-18921,3.43
SD-CSI-02481,2.4
SD-CSI-19144,4
SD-CSI-15424,5.232
SD-CSI-20994,7.8
SD-CSI-03114,5.04
SD-CSI-08673,3.15
SD-CSI-09924,1.38
SD-CSI-08672,4.05
SD-CSI-16128,3.84
SD-CSI-18185,4.24
SD-CSI-14395,6.24
SD-CSI-19584,7.02
SD-CSI-15123,4.578
SD-CSI-14400,7.848
SD-CSI-18950,3.5
SD-CSI-16173,3.84
SD-CSI-11016,4.5
SD-CSI-15409,6.24
SD-CSI-19446,7.5
SD-CSI-21252,3.9
SD-CSI-16177,3.43
SD-CSI-16601,2.289
SD-CSI-03293,4.5
SD-CSI-15143,5.76
SD-CSI-19451,4.25
SD-CSI-18392,2.5
SD-CSI-18984,4.165
SD-CSI-12628,6.58
SD-CSI-19462,3.5
SD-CSI-15235,5.232
SD-CSI-10792,4.8
SD-CSI-13408,6.867
SD-CSI-19711,4.86
SD-CSI-06856,3.29
SD-CSI-20554,4
SD-CSI-08272,5.76
SD-CSI-08271,5.76
SD-CSI-14406,3.36
SD-CSI-18628,3.5
SD-CSI-13532,5.1
SD-CSI-18647,7
SD-CSI-00998,2.53
SD-CSI-18129,8.25
SD-CSI-09965,9.36
SD-CSI-00257,3.78
SD-CSI-10952,5.4
SD-CSI-15913,7.35
SD-CSI-20128,5.8
SD-CSI-13422,5.232
SD-CSI-09318,4.95
SD-CSI-15208,7.99
SD-CSI-12984,5.232
SD-CSI-14992,4.32
SD-CSI-18124,3
SD-CSI-18233,6.72
SD-CSI-14860,3.43
SD-CSI-14528,4.8
SD-CSI-01497,6.8
SD-CSI-07572,3.29
SD-CSI-11221,2.115
SD-CSI-19512,4
SD-CSI-18690,7.5
SD-CSI-05620,3.145
SD-CSI-04818,16.45
SD-CSI-09979,5.016
SD-CSI-01325,4.6
SD-CSI-06181,5.04
SD-CSI-16754,4.25
SD-CSI-18827,6.5
SD-CSI-10270,7.05
SD-CSI-08808,2.025
SD-CSI-05812,5.04
SD-CSI-04830,8.6
SD-CSI-19766,5.1
SD-CSI-21137,5.5
SD-CSI-07620,6.9
SD-CSI-12511,6.867
SD-CSI-13691,3.675
SD-CSI-18349,5.635
SD-CSI-19072,5
SD-CSI-15279,6.54
SD-CSI-14618,3.2
SD-CSI-13017,4.578
SD-CSI-11096,4.6
SD-CSI-15382,6.72
SD-CSI-15696,6.72
SD-CSI-20195,4.16
SD-CSI-14652,6.867
SD-CSI-18225,6
SD-CSI-14915,2.45
SD-CSI-18895,4.25
SD-CSI-00134,3.96
SD-CSI-12007,3.84
SD-CSI-20733,7.28
SD-CSI-15340,3.84
SD-CSI-18820,6.63
SD-CSI-16006,5.886
SD-CSI-18427,6.5
SD-CSI-20411,7.194
SD-CSI-08428,2.775
SD-CSI-17961,2.85
SD-CSI-08421,2.59
SD-CSI-14737,5.46
SD-CSI-18289,5
SD-CSI-12909,2.52
SD-CSI-18829,6.12
SD-CSI-17820,4.578
SD-CSI-20228,4.16
SD-CSI-18835,5.5
SD-CSI-20772,4
SD-CSI-14170,4.578
SD-CSI-21346,6.25
SD-CSI-10918,5.4
SD-CSI-06601,6.075
SD-CSI-19127,5.13
SD-CSI-09781,2.22
SD-CSI-19154,4
SD-CSI-18286,5
