,DHI,DNI,Date,GHI,Unnamed: 0,lat,log
214,27.778000000000002,178.386,11/2010,108.585,10,34.05,-117.25
215,26.410999999999998,126.624,12/2010,77.816,11,34.05,-117.25
216,28.037,160.753,01/2011,98.025,0,34.05,-117.25
217,34.067,160.984,02/2011,114.603,1,34.05,-117.25
218,53.023999999999994,171.268,03/2011,153.805,2,34.05,-117.25
219,57.872,186.68900000000002,04/2011,181.859,3,34.05,-117.25
220,63.108999999999995,222.321,05/2011,222.671,4,34.05,-117.25
221,54.326,250.895,06/2011,238.58700000000002,5,34.05,-117.25
222,53.207,256.38,07/2011,239.81,6,34.05,-117.25
223,47.398999999999994,264.272,08/2011,231.088,7,34.05,-117.25
224,43.912,212.636,09/2011,178.558,8,34.05,-117.25
225,38.678000000000004,197.924,10/2011,145.526,9,34.05,-117.25
226,31.291,147.232,11/2011,97.774,10,34.05,-117.25
227,25.228,175.44299999999998,12/2011,95.935,11,34.05,-117.25
228,27.179000000000002,169.824,01/2012,100.56299999999999,0,34.05,-117.25
229,33.027,163.653,02/2012,115.789,1,34.05,-117.25
230,46.073,191.00400000000002,03/2012,160.838,2,34.05,-117.25
231,49.657,218.524,04/2012,196.53900000000002,3,34.05,-117.25
232,54.765,242.387,05/2012,227.91,4,34.05,-117.25
233,49.596000000000004,281.466,06/2012,253.68599999999998,5,34.05,-117.25
234,50.568999999999996,262.923,07/2012,241.606,6,34.05,-117.25
235,51.471000000000004,239.518,08/2012,216.87400000000002,7,34.05,-117.25
236,43.657,217.547,09/2012,180.68599999999998,8,34.05,-117.25
237,39.809,196.313,10/2012,145.97899999999998,9,34.05,-117.25
238,28.517,166.919,11/2012,104.59,10,34.05,-117.25
239,27.708000000000002,120.611,12/2012,76.593,11,34.05,-117.25
240,24.215,188.75900000000001,01/2007,105.839,0,34.15,-117.25
241,36.048,139.47,02/2007,105.09100000000001,1,34.15,-117.25
242,44.708999999999996,210.768,03/2007,170.74400000000003,2,34.15,-117.25
243,56.417,178.90599999999998,04/2007,177.6,3,34.15,-117.25
244,58.31100000000001,238.07,05/2007,232.377,4,34.15,-117.25
245,52.527,277.769,06/2007,253.296,5,34.15,-117.25
246,55.92100000000001,264.71,07/2007,247.071,6,34.15,-117.25
247,49.18600000000001,253.437,08/2007,225.27900000000002,7,34.15,-117.25
248,41.413999999999994,214.48,09/2007,177.453,8,34.15,-117.25
249,38.379,186.138,10/2007,141.373,9,34.15,-117.25
250,29.526999999999997,172.935,11/2007,107.99799999999999,10,34.15,-117.25
251,24.022,167.86700000000002,12/2007,92.166,11,34.15,-117.25
252,30.488000000000003,129.89,01/2008,86.43799999999999,0,34.15,-117.25
253,30.528000000000002,166.018,02/2008,113.706,1,34.15,-117.25
254,44.53,215.767,03/2008,172.796,2,34.15,-117.25
255,55.028999999999996,217.71900000000002,04/2008,201.21,3,34.15,-117.25
256,60.673,211.842,05/2008,212.40400000000002,4,34.15,-117.25
257,49.99100000000001,280.032,06/2008,251.947,5,34.15,-117.25
258,52.144,274.532,07/2008,250.648,6,34.15,-117.25
259,45.777,269.545,08/2008,230.972,7,34.15,-117.25
260,35.626,246.683,09/2008,192.563,8,34.15,-117.25
261,32.183,224.354,10/2008,154.054,9,34.15,-117.25
262,29.052,168.34900000000002,11/2008,104.72,10,34.15,-117.25
263,23.945999999999998,136.46,12/2008,79.169,11,34.15,-117.25
264,25.805,175.558,01/2009,101.156,0,34.15,-117.25
265,34.946999999999996,127.475,02/2009,98.74600000000001,1,34.15,-117.25
266,45.717,212.81099999999998,03/2009,173.82,2,34.15,-117.25
267,54.169,206.365,04/2009,192.52900000000002,3,34.15,-117.25
268,59.578,244.46200000000002,05/2009,236.72099999999998,4,34.15,-117.25
269,68.98,174.298,06/2009,193.345,5,34.15,-117.25
270,48.18,287.653,07/2009,254.72099999999998,6,34.15,-117.25
271,49.647,257.084,08/2009,228.63099999999997,7,34.15,-117.25
272,39.335,238.472,09/2009,191.405,8,34.15,-117.25
273,36.333,195.05599999999998,10/2009,142.253,9,34.15,-117.25
274,27.68,191.77599999999998,11/2009,114.29799999999999,10,34.15,-117.25
275,27.723000000000003,139.938,12/2009,84.583,11,34.15,-117.25
276,28.726,145.257,01/2010,91.24700000000001,0,34.15,-117.25
277,32.957,142.92,02/2010,103.193,1,34.15,-117.25
278,46.681999999999995,206.207,03/2010,168.96200000000002,2,34.15,-117.25
279,55.707,211.71200000000002,04/2010,196.36700000000002,3,34.15,-117.25
280,62.08,236.387,05/2010,228.995,4,34.15,-117.25
281,52.449,265.85,06/2010,244.903,5,34.15,-117.25
282,52.137,268.547,07/2010,246.44099999999997,6,34.15,-117.25
283,48.13,266.758,08/2010,231.34,7,34.15,-117.25
284,42.262,224.641,09/2010,182.105,8,34.15,-117.25
285,41.441,134.575,10/2010,115.06700000000001,9,34.15,-117.25
286,25.595,182.136,11/2010,107.869,10,34.15,-117.25
287,25.129,129.572,12/2010,77.961,11,34.15,-117.25
288,26.016,170.37400000000002,01/2011,99.465,0,34.15,-117.25
289,31.228,169.06900000000002,02/2011,115.333,1,34.15,-117.25
290,50.052,175.61900000000003,03/2011,151.878,2,34.15,-117.25
291,55.888000000000005,175.87400000000002,04/2011,172.563,3,34.15,-117.25
292,63.192,220.90599999999998,05/2011,220.16099999999997,4,34.15,-117.25
293,52.838,253.042,06/2011,237.24900000000002,5,34.15,-117.25
294,51.533,262.778,07/2011,241.74900000000002,6,34.15,-117.25
295,45.288999999999994,272.518,08/2011,233.59,7,34.15,-117.25
296,41.923,220.87900000000002,09/2011,180.97400000000002,8,34.15,-117.25
297,36.387,199.827,10/2011,143.94,9,34.15,-117.25
298,28.863000000000003,150.618,11/2011,96.772,10,34.15,-117.25
299,24.373,182.00400000000002,12/2011,97.13600000000001,11,34.15,-117.25
300,25.214000000000002,172.834,01/2012,99.272,0,34.15,-117.25
301,31.45,158.985,02/2012,111.45700000000001,1,34.15,-117.25
302,44.141999999999996,193.93,03/2012,160.2,2,34.15,-117.25
303,48.244,213.27200000000002,04/2012,190.296,3,34.15,-117.25
304,52.341,246.704,05/2012,227.34,4,34.15,-117.25
305,47.386,288.584,06/2012,255.172,5,34.15,-117.25
306,48.66,269.27299999999997,07/2012,243.245,6,34.15,-117.25
307,49.065,253.59,08/2012,223.063,7,34.15,-117.25
