actual,closest
"(33.628300000000003, -114.6191)","(37.75, -120.85)"
"(37.776499999999999, -120.8476)","(37.45, -122.05)"
"(37.406300000000002, -122.00839999999999)","(34.15, -117.35)"
"(34.109499999999997, -117.3762)","(37.35, -122.25)"
"(37.374400000000001, -122.21299999999999)","(38.05, -120.55)"
"(38.087400000000002, -120.58069999999999)","(36.65, -119.65)"
"(36.6265, -119.67529999999999)","(34.05, -118.05)"
"(34.002299999999998, -118.0356)","(33.75, -118.15)"
"(33.795000000000002, -118.1182)","(37.95, -121.35)"
"(37.974299999999999, -121.3147)","(38.05, -122.55)"
"(38.063200000000002, -122.5411)","(36.85, -119.75)"
"(36.865600000000001, -119.75920000000001)","(33.85, -116.55)"
"(33.843000000000004, -116.54340000000001)","(33.95, -118.15)"
"(33.997500000000002, -118.1528)","(34.05, -116.55)"
"(34.066600000000001, -116.5595)","(33.75, -117.95)"
"(33.708599999999997, -117.9563)","(38.75, -120.75)"
"(38.724699999999999, -120.7953)","(38.55, -122.45)"
"(38.511200000000002, -122.45700000000001)","(33.75, -116.35)"
"(33.759399999999999, -116.3232)","(33.95, -117.65)"
"(33.903799999999997, -117.6022)","(37.25, -121.85)"
"(37.257599999999996, -121.8907)","(38.45, -122.75)"
"(38.405000000000001, -122.72750000000001)","(32.95, -117.15)"
"(32.914299999999997, -117.1412)","(35.15, -117.95)"
"(35.139299999999999, -117.9147)","(32.75, -117.05)"
"(32.741300000000003, -117.0951)","(37.65, -121.85)"
"(37.689700000000002, -121.89239999999999)","(33.15, -117.25)"
"(33.179600000000001, -117.24460000000001)","(37.15, -121.65)"
"(37.137599999999999, -121.6621)","(40.55, -122.35)"
"(40.539299999999997, -122.33280000000001)","(37.75, -121.95)"
"(37.757399999999997, -121.9521)","(33.25, -117.35)"
"(33.202500000000001, -117.3608)","(35.05, -117.65)"
"(35.030700000000003, -117.6726)","(37.95, -122.25)"
"(37.969700000000003, -122.2941)","(37.65, -122.45)"
"(37.652900000000002, -122.4301)","(33.05, -117.25)"
"(33.016500000000001, -117.2026)","(37.25, -121.85)"
"(37.283999999999999, -121.8266)","(37.95, -121.25)"
"(37.9587, -121.288)","(34.05, -117.65)"
"(34.015999999999998, -117.6874)","(35.25, -120.65)"
"(35.262500000000003, -120.652)","(34.15, -118.95)"
"(34.174999999999997, -118.9396)","(34.15, -117.95)"
"(34.137700000000002, -117.9657)","(33.85, -118.05)"
"(33.868299999999998, -118.0675)","(32.75, -117.15)"
"(32.746000000000002, -117.16719999999999)","(32.75, -117.25)"
"(32.725900000000003, -117.2308)","(39.45, -122.05)"
"(39.414999999999999, -122.0249)","(33.45, -117.05)"
"(33.4953, -117.0766)","(38.15, -121.35)"
"(38.132599999999996, -121.3228)","(37.75, -122.25)"
"(37.776800000000001, -122.2179)","(38.35, -122.85)"
"(38.393300000000004, -122.83669999999999)","(33.95, -117.95)"
"(33.9345, -117.9516)","(34.15, -117.85)"
"(34.103299999999997, -117.8181)","(33.95, -118.35)"
"(33.9146, -118.3509)","(38.85, -122.25)"
"(38.857300000000002, -122.2149)","(33.75, -117.25)"
"(33.784100000000002, -117.29810000000001)","(37.95, -121.75)"
"(37.932099999999998, -121.7038)","(33.65, -117.75)"
"(33.687600000000003, -117.7885)","(32.75, -116.95)"
"(32.7211, -116.9961)","(37.75, -122.45)"
"(37.7928, -122.42189999999999)","(34.25, -118.85)"
"(34.292900000000003, -118.87130000000001)","(34.25, -119.15)"
"(34.217100000000002, -119.1769)","(37.35, -121.95)"
"(37.307699999999997, -121.99979999999999)","(37.65, -118.85)"
"(37.621600000000001, -118.86279999999999)","(39.65, -121.75)"
"(39.624299999999998, -121.7915)","(38.75, -120.65)"
"(38.748100000000001, -120.6746)","(39.15, -121.65)"
"(39.109299999999998, -121.6803)","(34.45, -118.55)"
"(34.406500000000001, -118.5621)","(34.05, -117.95)"
"(34.097700000000003, -117.90700000000001)","(32.75, -117.15)"
"(32.742899999999999, -117.1277)","(37.95, -122.35)"
"(37.941400000000002, -122.3663)","(34.45, -119.75)"
"(34.403199999999998, -119.72069999999999)","(33.65, -117.65)"
"(33.640000000000001, -117.6035)","(38.25, -122.65)"
"(38.243299999999998, -122.6069)","(33.95, -118.15)"
"(33.920200000000001, -118.1429)","(37.35, -121.85)"
"(37.386299999999999, -121.8899)","(38.55, -121.55)"
"(38.569200000000002, -121.545)","(37.95, -121.85)"
"(37.991599999999998, -121.8021)","(39.65, -122.05)"
"(39.6053, -122.03230000000001)","(38.75, -121.25)"
"(38.789200000000001, -121.23820000000001)","(38.55, -121.95)"
"(38.537399999999998, -121.9776)","(34.15, -117.85)"
"(34.119199999999999, -117.8548)","(34.05, -117.25)"
"(34.0807, -117.2736)","(39.45, -122.25)"
"(39.4998, -122.2077)","(38.35, -121.95)"
"(38.344000000000001, -121.9533)","(37.05, -121.95)"
"(37.007899999999999, -121.9507)","(34.25, -118.95)"
"(34.218800000000002, -118.99209999999999)","(32.95, -117.05)"
"(32.973599999999998, -117.03700000000001)","(37.35, -121.85)"
"(37.3339, -121.89149999999999)","(34.05, -118.15)"
"(34.073, -118.14619999999999)","(37.25, -122.05)"
"(37.270499999999998, -122.023)","(33.75, -116.35)"
"(33.701300000000003, -116.3415)","(39.75, -121.85)"
"(39.720999999999997, -121.8189)","(37.35, -122.05)"
"(37.353700000000003, -122.0872)","(37.35, -122.15)"
"(37.377099999999999, -122.1241)","(34.15, -118.05)"
"(34.140799999999999, -118.0018)","(37.25, -121.95)"
"(37.2286, -121.98399999999999)","(38.05, -122.55)"
"(38.098199999999999, -122.5981)","(33.75, -117.85)"
"(33.741700000000002, -117.82129999999999)","(33.85, -118.15)"
"(33.847299999999997, -118.1134)","(38.75, -121.35)"
"(38.768799999999999, -121.33629999999999)","(32.75, -117.05)"
"(32.784999999999997, -117.01860000000001)","(37.85, -121.95)"
"(37.811700000000002, -121.98650000000001)","(32.65, -117.05)"
"(32.608800000000002, -117.0607)","(37.65, -121.75)"
"(37.657800000000002, -121.73009999999999)","(33.85, -117.25)"
"(33.891100000000002, -117.2726)","(33.95, -117.45)"
"(33.926299999999998, -117.40940000000001)","(34.05, -118.45)"
